risk_id,risk,category,severity,likelihood,unit_op,mitigation,source_key,notes
R-001,Block-internal n-1 cannot be removed by any filtration mode; final full-length purity is floored at the product of block full-length fractions.,purity,high,high,Filtration,"Control at creation: high block full-length purity + high ligation conversion. Block-stage IEX/RP polishing (at supplier, on short blocks where 1 nt is easier to resolve). Accept a single final strand polish only if DS spec exceeds the achievable floor.",SRC-ZYDNEY-2024,"Core of finding 1. Confirmed by A, B, C+D."
R-002,"Immobilised-ligase clearance by filtration is unproven at scale; if it fails, enzyme removal reverts to chromatography (affinity/IEX), breaking the filtration-led thesis.",process,high,medium,Ligation,Develop and qualify immobilised or solid-phase ligase with measured residual-protein clearance; keep a chromatographic enzyme-removal fallback in the concept.,SRC-CODEXIS,"No public ppm/log clearance data (Q-032, now restated as NOT PUBLICLY AVAILABLE rather than 'not yet found'). Immobilisation holds conversion (>92%, SRC-CN119265174) but the CN patent still heat-kills and runs an ion column, so it does not by itself deliver a chromatography-free train."
R-003,Duplex may dissociate or degrade during atomisation/drying if particle temperature approaches the melting temperature.,product,high,medium,Spray drying,"Keep the powder below its MOISTURE-SHIFTED glass transition (measured 38-53 C at 3.8-4.6% residual moisture), which binds BEFORE the duplex melting temperature (58-64 C); drive residual moisture down to raise Tg. Keep outlet below Tm as the looser limit. Trehalose amorphous glass; N2 low-oxygen drying. Fallback: dry single strands separately and anneal downstream.",SRC-KEIL-2021,"REFOCUSED on temperature and the glass transition (F-003). Tg (38-53 C, SRC-KEIL-2021, Q-039) binds first; measured duplex Tm is 58-64 C (SRC-MALEK-2019, Q-030), the looser limit. Atomisation SHEAR is retired as a governing risk: naked siRNA kept >80% integrity and full activity through atomisation, while plasmid DNA did not (SRC-NAKED-NA-2023). Post-drying margin binds on storage as well as drying."
R-004,Thermal degradation of product in the evaporator from residence-time x temperature.,product,medium,medium,Evaporation,"Short-residence type (falling/wiped/thin film, residence seconds) under vacuum to hold temperature low. At small batch the minimum wetting rate forces recirculation (R-013), so control CUMULATIVE passes x temperature, not a single pass. Avoid forced circulation.",SRC-FFE-WIKI,"Correlations are food/fine-chemical; transferability caveat. Restated in terms of cumulative passes: below the minimum wetting rate the film breaks up, so a small batch must recirculate and multiply thermal exposure (SRC-HUGHES-2024, R-013)."
R-005,Non-volatile buffer salts (Tris/Mg/NaCl) concentrate through evaporation into the powder unless the final diafiltration exchanges into a spray-dry-compatible matrix.,formulation,high,high,UF/DF,Final DF into excipient + minimal/volatile salt matrix (BUF-FINAL) before evaporation/drying.,SRC-KEIL-2021,Hard constraint identified in audit.
R-006,Splint removal would be infeasible by filtration if a foreign same-chemistry splint were used.,purity,medium,low,Ligation,"Use the complementary product strand as the splint (siRNA sticky-end route); avoid a sacrificial foreign splint. If unavoidable, DNase digestion (adds a protein impurity to clear).",SRC-HONGENE,Largely designed out for siRNA.
R-007,Endotoxin clearance by membrane adsorber is unproven for a polyanionic oligonucleotide feed (product competes for charged sites).,microbial,medium,medium,Filtration,"Low-bioburden operation, endotoxin-controlled reagents/water, hold-time limits; qualify positively-charged/guanidinium adsorbers experimentally.",SRC-PMC12226154,"Top endotoxin gap. The adsorber-alone case is now tested against a competing polyanion and fell two orders short: 641 EU/mg with membrane adsorbers alone, reaching spec only with an orthogonal NaOH step at 29% recovery (SRC-DEVRIES-2018). The registered buffer-matrix study (SRC-PMC12226154) had nothing competing for the ligand - precisely the condition that will not hold for our polyanionic stream. See Q-037."
R-008,"Spray dryer and evaporator are hard to clean (wall deposits, cyclone product); CIP/SIP validation for low-bioburden operation is demanding.",microbial,medium,medium,Cleaning,Design CIP/SIP with the vendor; consider single-use contact where feasible; cleaning validation with worst-case soils.,SRC-OPRD-2025,Tier-2 detail; flagged now.
R-009,Aqueous intermediates with growth-promoting buffers support microbial growth during holds.,microbial,medium,medium,All,"Refrigerated storage, limited hold times, bioburden-reduction filtration into sanitised vessels for extended holds; bioburden/endotoxin monitoring.",SRC-OPRD-2025,Bioburden tightens 100 -> 10 CFU/10 mL toward DS.
R-010,Adenylylated dead-end (AppN) species (~329 Da difference) cannot be removed by filtration.,purity,medium,medium,Ligation,"Enzyme/ATP selection to suppress AppN (e.g., dsRNA ligases, controlled ATP); control at reaction, not downstream.",SRC-ALMAC-2023,"Observed in EXACTLY this chemistry: an adenylylated dead-end by-product '2.3_2.4[+AMP]' in fully modified siRNA blockmer ligation (SRC-ALMAC-2023, Table 1). The authors' mitigation was to change the disconnection and reaction staging so it does not form, not to remove it downstream - the control philosophy this risk asserts. Same separation limit as n-1. ATP tension: suppressing it wants <100 uM ATP against >=4 mM required for the assembly (Q-040)."
R-011,Membrane area and yield are sized on protein and plasmid-DNA surrogate flux from a weak secondary source; no oligonucleotide-specific flux or recovery figure exists.,process,medium,high,Filtration,"Measure flux, fouling and recovery on the real stream at bench and pilot scale before fixing membrane area; treat all current LMH figures as placeholders.",SRC-BPT-TFF,See Q-036. The previously cited ~80% RNA recovery figure does not exist in the cited source.
R-012,Microbial and endotoxin limits in this knowledge base are carried over from mammalian cell-culture practice and are unverified for an oligonucleotide drug substance.,microbial,low,low,All,Obtain the oligonucleotide-specific microbiological control paper and replace the ladder; until then do not use these numbers as specifications.,SRC-BPI-HOLDTIME-2025,"CLOSED (F-006). Every figure on the old microbial ladder was located verbatim in a mammalian cell-culture article, hedged there as typical practice (SRC-BPI-HOLDTIME-2025). The ladder has been removed; the oligonucleotide-specific bioburden figure (<1 CFU/mL, SRC-PMC7415879) and a dose-derived endotoxin limit replace it. See Q-037."
R-013,"Falling-film minimum wetting rate makes the evaporator turndown-limited: a small batch cannot run single-pass and must recirculate, multiplying cumulative thermal exposure.",process,medium,high,Evaporation,"Size the evaporator on minimum wetting rate (0.10-0.22 kg/m/s for water, ~57-65 kg/h for one 48 mm tube); at small batch expect recirculation and control cumulative passes (R-004). A rotary evaporator is not a scale-down model of a falling film.",SRC-HUGHES-2024,"Below the minimum wetting rate the film breaks into rivulets and dry patches foul - a heat-transfer failure, not a throughput inconvenience (SRC-HUGHES-2024, reporting SRC-MORISON-2006). Values are for water on steel, NOT a polyelectrolyte solution; transfer is plausible but unproven. Perimeter/feed arithmetic is ours (INFERENCE). See Q-018, R-004."
R-014,Magnesium and calcium bind the polyanion and can block impurity passage in diafiltration; the ligation buffer contains magnesium chloride.,process,medium,high,UF/DF,Exchange divalent cations out early; verify that cationic and divalent impurities actually clear the membrane on the real stream rather than assuming they diafilter like monovalent salts.,SRC-GRONKE-2023,"A polyanion will not diafilter out cationic impurities 'even for common divalent cations such as calcium or magnesium' (SRC-GRONKE-2023, single-strand antisense - the mechanism transfers). BUF-LIG carries MgCl2. See Q-020, Q-036."
R-015,No health-based exposure limit (HBEL) exists anywhere in the registers for cleaning validation of shared filtration and drying equipment.,quality,medium,high,Cleaning,"Derive an HBEL for a potent, highly water-soluble polyanion and write a cleaning-validation master plan against worst-case soils on the evaporator and dryer (the hardest-to-clean items).",SRC-WHO-TRS1044,A cleaning-validation master plan with health-based exposure limits is a named technology-transfer deliverable (SRC-WHO-TRS1044) and is absent here. Compounds R-008 (hard-to-clean evaporator/dryer). See Q-043.
R-016,"Dust explosion on the spray dryer, cyclone and powder receiver handling a dried organic drug substance.",process,high,medium,Spray drying,"Apply the current combustible-dust standard (NFPA 660-2025, which consolidated NFPA 654) with explosion protection (NFPA 68/69). The explosion parameters of the actual powder (Kst, MIE, MEC) are a TESTING deliverable, not a literature lookup.",SRC-STANDARDS-CURRENT,A spray-dried powder brings the combustible-dust standard into scope (SRC-STANDARDS-CURRENT). Not previously registered. See the facility page.
R-017,"Published ligation routes feed cell-free extract, so the protein burden entering purification is a whole proteome plus endotoxin, not a single ligase.",microbial,medium,medium,Ligation,"Prefer purified or immobilised enzyme over cell-free extract; if extract is used, size protein and endotoxin clearance against a whole-proteome load, not one enzyme.",SRC-ALMAC-2023,"The demonstrated modified-siRNA route uses an RNA-ligase/PNK cell-free extract at 1 mg/mL (SRC-ALMAC-2023, SI). That raises the clearance burden behind R-002 and R-007 well above a single ligase. See Q-032."
R-018,A block route that omits capping converts coupling failures into block-internal deletions (n-1) rather than truncations - the class filtration cannot remove.,purity,medium,medium,Ligation,"Preserve capping at the block stage where possible, or control block full-length purity tightly, since internal deletions propagate to the product and cannot be cleared downstream (R-001).",SRC-IQ-SUSTAIN-2021,"Capping in solid-phase synthesis converts coupling failures into truncated sequences and minimises n-1 (SRC-IQ-SUSTAIN-2021). A liquid-phase block route that drops it converts the same failures into block-internal n-1 - the harder class (INFERENCE, ours). Core of R-001. See Q-011."
