param_id,name,value,units,scenario_dependent,scale_system,source_key,provenance,notes,used_by,range_low,range_high,range_kind
P-MW-NT,Mean nucleotide residue mass (modified RNA),330,Da,no,"general — 2'-OMe/2'-F/PS modified RNA, approximate",SRC-NT-MASS,inference,"Order-of-magnitude from standard ribonucleotide monophosphate residue masses (~305-345 Da); PS and 2' mods shift this. Used only for MW scale, not spec.",docs,,,
P-MW-STRAND,Single-strand molecular weight,7000,Da,no,our product — 21-mer modified strand,SRC-NT-MASS,inference,~7 kDa = 21 x ~330. Arithmetic estimate pending confirmed sequence/mod pattern.,docs,,,
P-MW-DUPLEX,Duplex molecular weight,14000,Da,no,our product — 21/23-mer duplex,SRC-NT-MASS,inference,~14 kDa arithmetic. Note SEC-MALS measured 17.15 kDa on a specific siRNA (SRC-ZYDNEY-2024).,docs,,,
P-DMW-N1,Mass difference full-length vs n-1,330,Da,no,our product — single nucleotide deletion,SRC-NT-MASS,inference,One residue (~330 Da) out of ~7000 Da strand = ~4.7%. Below any UF size-separation threshold.,docs,,,
P-H2O-LHV,Latent heat of vaporisation of water (approx 40-60 C vacuum),2400,kJ/kg,no,physical constant — water at reduced pressure,SRC-STEAMTAB,fact,~2400 kJ/kg near 40-60 C; 2257 kJ/kg at 100 C. Standard steam-table value.,balance,,,
P-LIG-CONV,Ligation conversion,92,percent,no,"measured — immobilised RNA ligase, fully modified siRNA blocks, 5 mL packed column, 600 uM",SRC-CN119265174,assumption,"PER-LIGATION conversion, NOT a step mass yield and NOT the overall mass yield (see P-YLD-LIG, P-YIELD-OVERALL-PUB). Measured >92 percent single-feed and >94 percent split-feed on fully modified siRNA blocks in continuous flow, held >100 h (SRC-CN119265174) - and note that the '>100 h' there is a CATALYST LIFETIME, not a hold time. THREE CONVERSION NUMBERS NOW EXIST IN THE REGISTERS AND NO TWO ARE COMMENSURABLE, which is the correction made 2026-09-25 and is more important than any one of them. SRC-USPTO-10640812 defines conversion verbatim as 'product area/(template + product area) * 100' and tabulates it; its Example 13 Table 22 instead reports a species distribution whose own caption is verbatim 'The percentage of each segment, intermediate and product is expressed as fractional peak area relative to the tri-template hub peak area' - an internal-reference-normalised COMPOSITION, a different denominator from that patent's own conversion table and a third from this row's 92 percent. So the earlier blanket claim that that patent 'reports RELATIVE PEAK AREA ONLY' is struck as false, but the fix must not go the other way: 89.50 percent and 92 percent MUST NOT be pooled, quoted as a range, or read as corroborating one another. A further caveat travels with the 89.50 percent - its substrate is stated verbatim to have 'all linkages are phosphodiester linkages', so the best-converting concentration in the record is on a backbone we do not have, and the same patent's phosphorothioate/MOE gapmer figures are 11.8 percent or less. The often-quoted 82-96 percent range is a ligase screen on an UNMODIFIED shortmer whose phosphorothioate donors reacted only ~30 percent (SRC-NATCOMM-2024); >95 percent is an unreviewed vendor claim traceable only to a marketing blog (SRC-CODEXIS, SRC-CODEXIS-PR-2024, SRC-CODEXIS-PATENTS). Our kg-scale value is open. See Q-010.",docs,,,
P-BLOCK-PUR,Block full-length purity,93.6,percent,no,"measured — 4-5 nt MOE/DNA gapmer blocks, 145.5-258 g, chromatography-free (NOT our 5'-phosphate 2'-OMe/2'-F/PS blocks; NOT a 5'-phosphorylated block at all)",SRC-WO2020227618,assumption,"BAND (evidence): chromatography-free full-length purity of 4-5 nt modified blocks at hectogram scale, measured 93.6% (145.5 g), 94.8% (190 g) and 95.6% (258 g) (SRC-WO2020227618). CORRECTED 2026-09-25, and the correction is the point of the row: the previous point value of 92 was not a purity at all but a YIELD - the source reads verbatim 'deoxy-TTACC 5mer (145.5 g, 57.8 mmol, 92.4% yield, 93.6% purity)', so 93.6% is that compound's purity and 92.4% is how much of it was recovered. The previous range_low of 89 was the 89.1% purity of compound 7-3-10 at 6.00 g - a BENCH datum presented as part of a '145-258 g' band, a 25-40x scale misattribution. The purity values in that document span 68.2-99.3% across 42 distinct figures; what restricts the band is the SCALE and the absence of chromatography, not a selection among them. A WIDER, ARGUED band covers the same variable from first principles: a 1-3% per-cycle failure rate gives 0.97^4 = 88.5% to 0.99^4 = 96.1% for a 5-mer (SRC-US6087491). That is a different kind of claim from a measurement and is carried separately rather than merged into this one. CHEMISTRY CAVEAT: these are MOE/DNA gapmer blocks, not our 2'-OMe/2'-F/PS blocks, and 81% was measured for a 6-mer 2'-OMe PS (SRC-KELLY-OPRD-2025), so 95%-class blocks are not assured in our chemistry. No measurement exists anywhere for a 5'-PHOSPHORYLATED short 2'-OMe/2'-F/PS block, which is the number this parameter claims to be - see Q-057. The earlier note asserted these blocks carry a 5'-DMTr purity handle 'a 5'-phosphate block lacks'; that is wrong and is struck - chemical phosphorylation reagents are DMT-ON-purification compatible, the phosphate being unmasked after purification. See Q-011 and the filtration finding.",analysis,93.6,95.6,evidence
P-YLD-LIG,Step yield: ligation + workup,85,percent,yes,ASSUMPTION — placeholder,,assumption,"Flagged assumption for the balance: ligation + workup STEP mass yield. Distinct from PER-LIGATION conversion (P-LIG-CONV, >92%) and from published OVERALL campaign mass yield of 19-43% (P-YIELD-OVERALL-PUB, SRC-HONGENE-BROCHURE-2025). A balance that reads a >92% per-ligation conversion as a step yield overstates output several-fold. See Q-012.",balance,,,
P-UFDF-RETENTION,UF/DF product retention coefficient (membrane passage),0.992,dimensionless,no,single-strand antisense oligo on 3 kDa membrane (NOT an siRNA duplex); sieving <0.008,SRC-GRONKE-2023,assumption,"Product retention R feeding the diafiltration loss relation (EQ-UFYIELD). Anchored to a sieving coefficient <0.008 (R>0.992) reported for a single-strand antisense oligonucleotide on a 3 kDa membrane (SRC-GRONKE-2023) - a different molecular form from our duplex, read from the abstract only. See Q-036.",balance,,,
P-UFDF-HOLDUP-LOSS,UF/DF unrecoverable hold-up loss (additive),0.10,dimensionless,yes,"mRNA at 20-80 mL TFF (a larger molecule; the hold-up mechanism transfers, the fraction is scale-dependent)",SRC-NOURAFKAN-2024,assumption,"Additive product loss to unrecoverable hold-up in tubing and filters, the term the old flat P-YLD-UFDF lacked. 30-40% was measured for mRNA at 20-80 mL (SRC-NOURAFKAN-2024); it dominates at small batch size and does not scale down cleanly, so the 0.10 placeholder is a plant-scale guess, not a transferable constant. See Q-036, R-011.",balance,,,
